date,hedged,unhedged
2026-06-19,0.993591,0.993591
2026-06-22,0.997306,0.997306
2026-06-23,0.985770,0.985770
2026-06-24,0.993944,0.993944
2026-06-25,0.995366,0.995366
2026-06-26,0.995366,0.995366
2026-06-29,0.990825,0.990825
2026-06-30,0.987494,0.987494
2026-07-01,0.993291,0.993291
2026-07-02,1.000319,1.000319
2026-07-03,1.004256,1.004256
2026-07-06,1.010855,1.010855
2026-07-07,1.009546,1.009546
2026-07-08,0.988168,0.988168
2026-07-09,0.991509,0.991509
2026-07-10,1.001610,1.001610
2026-07-13,1.001779,1.001779
2026-07-14,0.995202,0.995202
2026-07-15,0.996297,0.996297
2026-07-16,0.996059,0.996059
2026-07-17,1.006881,1.006881
2026-07-20,1.002917,1.002917
2026-07-21,1.002917,1.002917
2026-07-22,1.002917,1.002917
2026-07-23,0.987653,0.987653
2026-07-24,0.983426,0.983426
2026-07-27,0.992881,0.992881
2026-07-28,0.992442,0.992442
2026-07-29,1.003401,1.003401
2026-07-30,1.006171,1.006171
2026-07-31,1.006171,1.006171
2026-08-03,1.025087,1.025087
2026-08-04,1.018491,1.018491
2026-08-05,1.018895,1.018895
2026-08-06,1.019364,1.019364
2026-08-07,1.016660,1.016660
2026-08-10,1.017205,1.017205
2026-08-11,1.012566,1.012566
2026-08-12,1.011087,1.011087
2026-08-13,1.009428,1.009428
2026-08-14,1.008193,1.008193
2026-08-17,1.004951,1.004951
