ticker,sector
ABB.NS,INFRA
ADANIENSOL.NS,POWER
ADANIENT.NS,METAL
ADANIGREEN.NS,POWER
ADANIPORTS.NS,INFRA
ADANIPOWER.NS,POWER
AMBUJACEM.NS,CEMENT
APOLLOHOSP.NS,PHARMA
ASIANPAINT.NS,CONSUMER
AXISBANK.NS,FIN
BAJAJ-AUTO.NS,AUTO
BAJAJFINSV.NS,FIN
BAJAJHLDNG.NS,FIN
BAJFINANCE.NS,FIN
BANKBARODA.NS,FIN
BEL.NS,INFRA
BHARTIARTL.NS,TELECOM
BOSCHLTD.NS,AUTO
BPCL.NS,ENERGY
BRITANNIA.NS,FMCG
CANBK.NS,FIN
CGPOWER.NS,INFRA
CHOLAFIN.NS,FIN
CIPLA.NS,PHARMA
COALINDIA.NS,METAL
CUMMINSIND.NS,INFRA
DIVISLAB.NS,PHARMA
DLF.NS,REALTY
DMART.NS,CONSUMER
DRREDDY.NS,PHARMA
EICHERMOT.NS,AUTO
ETERNAL.NS,CONSUMER
GAIL.NS,ENERGY
GODREJCP.NS,FMCG
GRASIM.NS,CEMENT
HAL.NS,INFRA
HCLTECH.NS,IT
HDFCAMC.NS,FIN
HDFCBANK.NS,FIN
HDFCLIFE.NS,FIN
HINDALCO.NS,METAL
HINDUNILVR.NS,FMCG
HINDZINC.NS,METAL
HYUNDAI.NS,AUTO
ICICIBANK.NS,FIN
INDHOTEL.NS,CONSUMER
INDIGO.NS,INFRA
INFY.NS,IT
IOC.NS,ENERGY
IRFC.NS,FIN
ITC.NS,FMCG
JINDALSTEL.NS,METAL
JIOFIN.NS,FIN
JSWSTEEL.NS,METAL
KOTAKBANK.NS,FIN
LODHA.NS,REALTY
LT.NS,INFRA
M&M.NS,AUTO
MARUTI.NS,AUTO
MAXHEALTH.NS,PHARMA
MAZDOCK.NS,INFRA
MOTHERSON.NS,AUTO
MUTHOOTFIN.NS,FIN
NESTLEIND.NS,FMCG
NTPC.NS,POWER
ONGC.NS,ENERGY
PFC.NS,FIN
PIDILITIND.NS,CHEMICALS
PNB.NS,FIN
POWERGRID.NS,POWER
RECLTD.NS,FIN
RELIANCE.NS,ENERGY
SBILIFE.NS,FIN
SBIN.NS,FIN
SHREECEM.NS,CEMENT
SHRIRAMFIN.NS,FIN
SIEMENS.NS,INFRA
SOLARINDS.NS,CHEMICALS
SUNPHARMA.NS,PHARMA
TATACONSUM.NS,FMCG
TATAMOTORS.NS,AUTO
TATAPOWER.NS,POWER
TATASTEEL.NS,METAL
TCS.NS,IT
TECHM.NS,IT
TITAN.NS,CONSUMER
TORNTPHARM.NS,PHARMA
TRENT.NS,CONSUMER
TVSMOTOR.NS,AUTO
ULTRACEMCO.NS,CEMENT
UNIONBANK.NS,FIN
UNITDSPR.NS,FMCG
VBL.NS,FMCG
VEDL.NS,METAL
WIPRO.NS,IT
ZYDUSLIFE.NS,PHARMA
